attr_name	tumor_breast_1	tumor_breast_2	tumor_breast_3	tumor_breast_4	tumor_breast_5	tumor_breast_6
ABCA6	3.92713979337527	4.81269280715259	4.72997673755208	3.7615562873136	4.14183085671906	2.80289152318876
ABCA8	3.16738531548539	4.03125009792775	3.84923413100482	3.43228141034525	3.36375884339524	3.38035791832999
ABCA9	3.82174889066279	4.03367704897554	4.53066985402473	3.79113786458768	3.44496755751637	3.29588809170003
ABCC9	5.06063343497295	5.39623903848767	4.29617463778612	4.79639292940379	5.91114036004475	4.99170204996649
ABLIM1	6.13458945910964	6.24071919912516	7.51921294236755	6.76902640662552	6.69552663540924	6.22308609178828
ABLIM3	4.217169402741	5.08838105070204	4.68809389265987	5.24071930381743	5.0253442892482	4.94013496474026
ACACB	7.69799174970809	8.75688110642444	8.8508756319231	7.6586992658066	6.64269627140569	7.60702538412863
ACKR1	3.61391118229419	4.32696831162403	6.92405488374615	6.39265776778412	7.91554578141246	3.68987703500297
ACOT7	6.11413642214247	6.29450372573717	5.63777115412187	6.69770470865474	6.05674713549513	6.79141123657597
ADAMTS1	5.85314829617896	6.54504761674574	6.43253778133992	6.15214872464582	8.03418379666717	5.44215206239374
ADAMTS14	5.41867177325187	6.61167890337356	5.66240281448775	5.75456340589382	6.49013961759471	5.66492033506062
ADAMTS9	4.63028176678514	4.18614371324318	4.75566030096632	5.20302584150631	4.6735445969021	4.03953048306574
ADCY4	5.70363496388058	5.22440198896364	6.66510211708659	6.18726749222791	6.74310533135684	4.06202680905596
ADGRF5	7.03078117340699	5.53431143664772	5.95749200220712	5.96024145838553	5.78373960258651	6.23503129533013
ADH1B	2.68554817396224	2.85211614794576	6.01899388505858	4.4830947389215	5.31024794514231	2.62566022996698
AHI1	7.82794741733088	7.95989905326208	8.18889626432037	7.29953190890961	7.98816314688548	7.87276515688615
AIF1L	5.09255520660244	4.26727405685686	5.99467775210502	4.67066143764519	5.07757795763757	4.85445953073291
AKIP1	6.09011751323522	6.18042275288124	6.15771410133583	5.23791459445543	5.58310517677491	5.55592960108
AKR1C1	6.38875660553985	7.12396864074689	6.51444957301619	6.23084169318068	6.42439548971138	5.9679175874026
AMOTL2	8.54645435183924	7.14607215964883	7.55452394695818	8.37641838229384	6.65955470245513	7.97190376983774
ANK2	6.06091930073443	7.90628857866277	5.83612136711205	5.14704478891755	7.32053525818134	5.12498511089863
ANKRD20A11P	5.29822194978951	5.69840162092017	6.56968336034024	6.07034549889169	5.83488230383727	5.77944404500813
ANKRD29	3.29393977134525	4.10424618890521	3.95808394545754	3.49229396178718	2.91816853312295	3.25913347340249
ANKS1A	7.72515265037404	7.87583778482863	7.15114187496264	7.57202788008123	8.72170346746174	7.44521332014764
AOC3	5.96127970983936	6.4608147885096	5.52006670712865	6.51597507992668	7.24725861898927	7.24638606938443
AOX1	4.67067422848135	5.83531418475788	4.89542913533854	5.16729839271061	5.18020986797614	5.30633470301139
ARAP3	5.27360270858279	5.02481358929517	5.27288168116784	5.70722620187406	5.72447478452358	4.72769789989825
ARHGAP29	6.62686720127096	6.2715360521373	6.39527010771984	5.51604193007638	7.34940820049065	6.62850645274037
ARHGAP6	6.05352289153896	4.83146932002753	5.47144050147955	5.00567605726407	5.79099387451496	5.69200127442977
ARHGEF15	5.16830095274595	5.19287342924933	5.2226174809856	5.35387192899916	6.29787008214071	4.73510367895525
ARL4A	7.24485854495795	6.75859140399988	7.53539960444668	6.92636332777111	7.07127448775911	7.09402475585638
ARRB1	5.66534955632221	5.51018146581665	6.01910912784392	6.57535383118255	4.75281264307446	5.69876985954654
ARSI	7.77540398491374	6.72704657453464	6.19624590133462	6.77294864181708	6.99258342424809	6.72579116490634
ASPA	4.39931075242998	3.05750129918773	4.14341271350225	5.78528215621574	6.37978582712421	6.03638741263291
ASTN1	2.46923509389614	2.62262715020778	2.07764727590856	2.34074786031906	2.47436510785992	1.9380483522571
ATP6V0B	7.93442155025122	7.61604946139992	7.47506311138156	8.19028631748506	8.32914228539251	8.4662022788146
AZIN2	7.53131703914453	8.05940035832816	7.29371667057198	7.93843616019803	7.85700851992008	7.61393549537136
BCHE	3.58173075889888	6.05999970543859	4.89049896092387	4.33804248168587	3.56934106761175	3.57948905017899
BGN	10.5587494618143	10.8015682824014	10.1252225544931	10.782575622616	9.89389257107702	10.0124401374608
BMP2	5.53606285251732	6.50139612334233	5.62331510830522	4.72880224751691	5.44582902187116	5.38593628809054
BTNL9	6.64145859407036	5.1574942464162	5.04062070595239	5.23032833869602	4.94604703756889	3.24249904859489
C16orf89	4.35159385710406	4.82736221293258	6.76882943778477	4.43312764760726	6.07326711605362	4.50436118713376
C17orf58	7.33743486070563	6.08797535332381	6.34243261820764	6.57231870908232	6.80963312340816	6.71549765645039
C1orf115	5.80177985340363	6.075269448337	5.11459300365799	5.40979448390825	5.95569165225886	4.46050710745645
C1QTNF3	9.52830135298982	10.5051470801333	7.81233812185654	8.02949368912703	10.391462334182	10.1946113319506
C1QTNF6	6.75632762086036	6.90222116083901	6.31922835727239	6.9449597789868	6.61953152161872	6.2732112955093
C3orf80	4.66968460547248	5.7747050003033	4.04424402211806	4.79608004715712	6.38899633898177	5.17874137124864
CAB39L	6.07283989591136	5.53151340875761	5.88085702386832	4.65556408827171	4.6864641076176	5.43500867947457
CACHD1	6.67972674767444	6.69267732217518	6.65872523090081	5.01065069462035	7.13195500836459	5.22475925133473
CADM1	8.83760774592445	7.85717572348702	7.32635608691947	8.32126743830795	8.38184335430039	9.63441403075207
CAND2	5.78557965023055	4.77011576482693	5.80111873945781	4.8234856014154	4.59614287948377	6.66969570648899
CAPN6	3.48463584127154	3.0957643785191	6.13557278403905	3.04193817323719	4.96837006086446	2.84077887786069
CAPZB	6.98014978761196	6.44587568788579	6.68864844440671	6.94584996705956	6.57199250281586	6.94152733651471
CASP4LP	5.4545527130142	4.99010456212264	4.85924668476119	5.6593468266694	5.73254542230137	5.20824367403855
CAV1	8.88658008861264	8.00109298682469	6.28919285611813	7.34847446534635	7.65985339156276	7.48137116044803
CAVIN2	2.34128567877111	2.26254330621506	2.08888006396509	1.85256940686453	2.99347498703965	1.97177470056787
CCDC167	7.32650776516995	7.30535991588407	5.98686471655335	7.73405764066597	7.62936400156897	7.05378536288052
CCDC178	4.96402415819785	4.75373296619417	6.00422810089916	5.07535391117423	5.46930338496314	4.98536516351634
CCM2L	5.87061964348867	4.71200615375998	6.1226106485062	6.15226928788214	7.0344393205319	4.62388585517044
CCN4	8.10140482070854	8.52511257222066	5.9003705415255	6.96138596770733	6.72337166998174	7.83379047991
CCNL1	7.23539153257591	6.43392210352321	7.32758119217847	6.94357413760886	7.33544416273891	6.83258125729406
CD24	6.98550647861652	8.0381123730246	8.23074846015637	5.82143432545892	7.78190203785877	7.66605605308223
CD300LG	4.48615920759834	5.45999942006659	4.37059245648761	4.79057990733801	4.45174418290944	4.4998862559001
CD34	6.03517691650941	5.08460417893201	6.40544601813021	6.28432203383612	5.79240014007024	5.41197456906616
CD36	4.63216698491616	3.71001745573367	4.21060704324117	4.56041616947229	5.11588112588751	3.20289011340635
CDC42EP4	5.29416920781775	4.59088390940489	6.57241955917852	5.3861475070012	5.91565118667882	5.23685154864888
CDKN2A	5.9004099728854	7.27803480382935	6.18265861947732	5.35092163494713	6.73016534939282	6.93975167647679
CDKN2B	6.40342406149374	6.51608555704284	4.79557704632617	4.27110876151915	7.13735528896209	5.58413054359774
CDON	4.54922919607986	4.99897330149723	4.12136700657957	4.66702136498777	5.36177105611948	3.66564057412042
CEMIP	9.4327564665708	8.58848917946254	5.43092712577823	7.40017220452643	8.62836524573074	10.5265923536759
CEP15	7.79663070115956	8.2598524711325	6.7695496867207	6.60090894159477	8.23985896143658	7.57001579557222
CEP68	7.37547111950077	7.44842232046651	7.21358561030908	6.8591454865396	6.88677271191513	7.1930170087374
CERCAM	6.534594277097	6.67473574046535	6.41622574898437	6.63187018111173	7.39740654965575	7.71147831486009
CFAP69	5.75216803062718	6.51191605216298	6.9636384762893	5.54125615035144	5.67065110675168	6.10209159543492
CFAP91	4.86282480215436	4.5599471549691	6.08028032366152	4.9148930596128	5.03050227482291	5.43726275684909
CILP2	8.03332098639869	9.43131980631904	6.52259449904893	5.9815712601253	7.50241582766147	8.47278843713569
CIRBP	6.85591504519807	6.60923561054175	7.75692056076126	6.75712670437776	7.41638157461515	7.14939741924688
CLDN5	6.81711586507003	6.78178500660279	7.63041719350217	7.6178494554133	8.18200066351505	5.57824156632884
CNKSR3	6.24809198532678	6.25483355112718	4.91019387928799	5.30518380153319	5.85522038578348	6.0841585789795
CNN2	7.64173976556485	7.23190992173877	7.42156849752342	7.56148689405794	8.02846529551496	7.87729063647306
COL10A1	11.0394657597043	9.92354344720187	6.72913027933552	8.47792077507951	10.5407204571025	10.9757733526839
COL11A1	12.2752534753592	11.5281170325977	7.15749864594243	10.414708760758	10.3926468183335	12.3649637042394
COL6A6	4.70065293119015	6.35479891326517	2.88881345932994	3.60441241566406	4.99982524336322	4.00742835387262
COL8A1	11.555441032433	12.4098600531606	9.21858826484095	10.7204668757928	12.0157239394558	12.5348744476173
COLGALT2	4.46213670156235	4.33439958695068	5.05383060886266	4.5197816709223	5.02384354020233	4.86690611486571
COMP	9.12973700728608	10.8614524450931	10.9482712784474	9.75518575109819	11.6113838605825	12.398215729621
COPZ2	10.0584802007047	10.3061945084698	8.75124086565355	8.87402691451455	9.69384457741922	9.3468812521196
CREB5	6.0221443321455	5.90713911901594	6.14940227286056	5.30376412476266	5.18392077283953	4.74178531126578
CTTN	6.54374392234088	7.33448002853234	5.76456244023669	6.02548251989836	6.52372402247529	7.47152679697427
CXCL10	7.59315705153037	5.08686495601637	7.63651189857374	8.57509393826652	9.16971588064503	11.2739890392897
CXCL12	9.97280165346944	10.6281419466344	9.45328910122962	9.69513457422633	11.2778041032493	10.3023651346965
CXCL2	4.1016768098106	3.54157621805842	3.74456261235613	4.78215087421343	4.90518325402188	5.17614922261852
CYBB	5.65163988951655	6.00224467198717	5.50172937189059	6.87357127917489	6.8187656679228	7.45541218046943
CYTL1	3.43631820250086	3.33934692899408	3.13895537769643	3.87527265471194	3.49447797335168	3.16725290864107
CYYR1	4.81840392530898	3.19302771258025	4.49867428317423	4.17483458831178	5.13864546462625	2.71109936280043
DACH1	4.68802322255765	4.20290708021111	4.61276357405618	4.32593489584537	4.99491482257464	3.2757170364825
DCLK1	4.98884408551289	3.02251070471651	2.62916103447574	3.78703161675231	3.40595166799132	2.17163814800957
DENND2A	4.23537442274146	4.70645095090075	4.49542498275908	4.78272380680496	4.65536432385595	4.52133968065399
DOC2B	6.05043322457317	5.03341026613954	5.70584164276501	5.72121659303107	3.80779729979662	3.18870553208165
DOCK9	6.61019902374015	5.80194325626496	4.82089906058782	5.61383053355581	6.82773037187511	5.05146472032384
DOK5	7.62610017245016	7.19740051281188	6.89646225987868	7.68663627099516	7.76835264330829	8.16898578592138
DPP3	6.88329167515581	7.05811381409566	7.03122576779783	7.46908041266845	7.29035221903876	7.30037968549905
DPY19L2	4.50989941968795	4.34434721322509	4.54289291273785	4.42036852802667	4.52784236466422	4.58739131341078
DUSP6	8.48502539109535	7.52412982437226	7.89816949679238	8.27772290420505	8.52785410633766	8.49189200370584
EBF1	6.32160419450257	6.70407567693805	5.95823504245291	5.76635820161062	5.86074777799147	4.39056293792205
EBF3	5.43958267543942	4.90997770096248	5.39957522639072	3.8081795233094	4.68073266603177	4.03297281358075
ECSCR	6.53166347717032	4.61220548732033	6.28230968928861	6.9076317320707	7.31984783933157	5.50989909023878
EDIL3	10.1974744093676	10.2535498510205	7.2912273095452	7.41965969214281	8.93548061871352	11.1348665870305
EDN1	3.98499468182475	3.73775048759028	4.6351694649967	4.2497562147688	3.63581036972475	3.81492801164382
EDNRB	7.54350049783637	5.40129422179632	5.22267995120671	6.68676548144273	5.91114036004475	5.68007494770586
EGFR	6.2927469611857	6.78677762981657	5.2504387817231	5.80348850241045	5.92199647089159	5.75739128225849
ELOVL7	3.61706710691486	2.89968470509947	6.14461868914055	3.84861778942111	5.8685233479166	3.03783060994241
EMCN	5.82943459119301	4.98616092991366	4.93587373670906	5.54747926541613	7.0034941998275	3.79801926142477
ENC1	9.09250995211204	9.28675402938608	9.242002887839	8.77065421047099	10.895159949577	9.21401872548298
ENOSF1	6.5781490981755	7.61503547305901	6.96608145196734	7.35822801024249	8.26071021150517	7.48128259705222
ENPP2	6.61031025630082	7.43606758814946	6.96514743538209	6.50371120070458	7.76708586558543	5.59658226639935
ENTREP1	4.0886272065209	3.95412835645886	4.59623480936208	3.91755352677502	3.33582874740463	3.68907650088995
EPPK1	5.48721858053828	6.59175865920611	6.2291886591978	4.59730751257595	4.68802322255765	5.33069556842671
EXOC6	6.53831981263688	6.66302875548645	5.61465248165221	6.40351557231524	6.10062935443567	6.47974404074142
F2RL1	6.96477382539019	6.86612850088097	3.87989321397495	7.75094688676218	7.06449445644648	4.76691574782436
FABP4	5.32658185488745	5.60134870668966	4.86648274401495	4.61044017508907	6.45686640504231	3.43041887231626
FAM107A	5.40255643820581	6.66274489223193	5.86056065833607	5.76860089853602	5.58752740876225	5.3335503851138
FAM13C	5.19238946862736	5.23686417609574	3.56545287917826	4.12912975378531	5.88393364384857	3.8601965252403
FAM162B	4.83474526192339	4.90957906495514	4.75937231627014	4.80210959288292	4.93573606762236	4.52266751297046
FAM184A	5.54327849587263	5.49076100085102	4.83083258827299	4.61485553853834	4.96769714143246	5.12939611730341
FAM43A	7.02735728986447	6.96920742522291	6.88306232997148	7.53739203343819	6.49949095165554	5.977477315486
FBXL22	3.8067306503833	4.32707134520192	5.7743306216782	4.32954093903532	4.62061946313914	4.6308989270664
FBXO31	7.01859927211787	7.86270142035976	7.65328800480168	7.51469831014515	7.02510271733192	7.4068089245968
FCGBP	8.38189308794644	7.41133605535536	8.20722952914105	9.41042703192237	6.67049796529216	8.92459579260028
FGF18	7.48684999600354	9.15860344379027	8.79116409112854	7.95328659530062	8.26479518231791	8.9875557762704
FHL1	10.6461040878557	10.3455282013107	9.78213233372972	9.266225128208	10.233949177993	10.943102314702
FIBP	8.73281109991429	8.35885310775133	8.55214492701113	8.32009501837905	9.25201780102352	8.52196810861053
FIGN	4.5876701619137	4.82208991363417	4.70288870747286	3.82269810748639	3.28368217993252	5.03936346443894
FILIP1	3.93746727956836	3.1936247163021	2.52567120421557	3.15858564289534	3.1713765073945	3.42313905908095
FMO2	6.99559500257345	6.14819893988615	7.29771779929445	6.74824874140768	6.88785425236232	6.37194668608388
FN1	4.98621152352065	4.35952282921266	3.08055524765307	3.98275016978228	5.94302143160984	6.17427824835653
FOSB	7.27216470729507	8.54060858380312	9.45481987559601	10.1863134281903	8.11380504268604	7.3803704382905
FUT1	5.26058482482763	4.65386253615657	4.91945249582953	4.69700369741057	4.71877902094548	5.09582931301598
FZD10-AS1	3.64954932272602	4.40739737615999	3.8737404369232	3.61720524876019	3.57950800585367	2.95128695798677
GABRE	5.23590896419561	4.60544912351874	5.36619395749577	5.34186872904512	4.80095690553339	5.50449212949253
GAL3ST4	6.77958315403344	6.6855268607893	6.50024376201196	6.9817738491674	6.80780759358394	7.2827545012106
GFOD1	6.9567297263152	6.8128447661418	7.1011844137766	6.89863514750955	6.73464665789996	6.00591568198484
GJB2	9.42988450922605	10.0652673995369	3.73732690489968	7.32734510255877	8.78347024473472	7.55049498009845
GNB1	7.64155679219977	7.4210526510204	7.46082397464638	6.85423672507113	8.42245869353785	7.6031681564574
GPC3	4.52006995074324	4.62535429964812	4.5385984786303	4.11764332851491	4.39920383444461	4.92937558106036
GPIHBP1	5.67747596609908	5.42559075521358	5.93451606180278	5.89091684337001	5.45616230911468	5.42006024430678
GPR146	3.33300292607267	3.32193818844927	4.58860033434493	3.84717561928488	5.00151097398277	3.65404477650657
GPR68	7.35671334158247	7.45055643594423	6.61759727780599	7.01458024732752	7.30003962572456	8.01881679392301
GRB10	6.40920930948297	5.87225115316147	6.61940167453486	6.09297560041012	6.43892537883426	5.89040210840636
GRIA1	4.26352456128244	4.15771400700153	5.29607428559326	3.88507475563296	3.47179790022507	4.93069256423326
GRK5	6.84149207879915	6.49959981520886	5.8747159223303	7.84015401624694	6.83512827805883	6.16689578472429
GSN	11.2729167574629	11.378096778296	11.7763162271416	11.580691977214	11.6805592292048	10.6851912273937
HAVCR2	7.73897300337193	6.54468924626465	6.10394779419311	7.37135064654466	7.76732357013699	7.256726112257
HOXD4	6.79863871187645	7.88053962281708	7.04778167333537	6.1090369586934	6.87439351493843	7.03811790275039
HOXD9	6.48505419553417	6.58918322604923	6.78367517184504	6.2513426673561	6.52912906425251	6.00664266254062
HYAL1	3.34991032717511	3.73760143946815	3.44428993732444	3.8072510229242	4.84947050659995	3.146563920742
HYMAI	6.09048250355605	5.06525718723347	5.80512094240671	5.08881043727436	6.38977572251011	4.21222431211097
IGF1R	7.2617959329939	6.87475148322488	6.43004673128878	6.37767383319222	6.72471682433091	6.78943665927741
IGSF10	6.68654021553515	5.87196467176013	4.40949045510368	5.33817635838409	6.76420989866381	4.75651981926711
IL33	2.7033626814393	2.48766349898421	3.93082960347088	4.07926861588095	5.27449322717904	2.36304447662476
